Customer_ID,Name,Email,Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Last_Support_Ticket,Churn,Predicted_Churn,Risk_score,risk_cat
dbf0c0e2-c5d1-411a-bbb2-f7944332f64d,Ryan Guerra,rose30@example.org,36,Rarely,1,The UI is too confusing. I can't find the export button.,1,1,0.9397770020233099,high_risk
c07c0a8a-bac0-47f9-b93d-57d61490a610,Dorothy Rose,naguirre@example.org,18,Rarely,1,I've been waiting for support for 3 days. I'm cancelling.,1,1,0.9390316414097987,high_risk
d4b5096b-14ba-4028-8d30-162c71f7dffb,Joshua Thompson,paulalane@example.net,427,Rarely,1,I've been waiting for support for 3 days. I'm cancelling.,1,1,0.9386240457572609,high_risk
17d10c92-8ca7-45d3-9645-6164b087b857,Timothy Porter,cynthialarson@example.com,121,Rarely,1,I've been waiting for support for 3 days. I'm cancelling.,1,1,0.9367221685967638,high_risk
178f73c7-a79a-4459-8631-b9e27e3274e2,Shelley Christensen,tjimenez@example.org,588,Rarely,1,Your API documentation is outdated and full of errors.,1,1,0.9314428998236495,high_risk
6332f1ae-18c6-4031-aad5-ef8d6212281e,Gregory Davis,oscar99@example.net,536,Rarely,1,I'm very frustrated with the downtime. This is unacceptable.,0,1,0.9310059148048968,high_risk
faa5dbb9-de69-4a65-91fa-2fc9f902f862,Anthony Reynolds,christopher74@example.org,619,Rarely,1,The UI is too confusing. I can't find the export button.,1,1,0.930779168195036,high_risk
fe2c857c-6537-4b90-aa2b-d17d61757993,Christy West,smithjose@example.com,511,Rarely,1,I'm very frustrated with the downtime. This is unacceptable.,0,1,0.9280397757150632,high_risk
d0751661-3bad-42af-9088-3b74f41e9d8a,Rhonda Allen,nlynch@example.com,418,Rarely,2,The UI is too confusing. I can't find the export button.,1,1,0.9271964418855699,high_risk
4dda9424-bed7-4762-a510-6ac32dc692f3,Brandon Rodgers,rgordon@example.net,265,Rarely,2,I've been waiting for support for 3 days. I'm cancelling.,1,1,0.9222801769022111,high_risk
b4c2904b-e80c-40e8-a3cf-9b03d2f00e4a,Charles Grant,elizabeth20@example.net,314,Rarely,2,The app crashes every time I try to upload a CSV.,1,1,0.920665064950381,high_risk
c122e05e-2760-4e0b-a42a-0e11f68e9c45,Ashley Fuller,xwolfe@example.net,539,Rarely,2,The UI is too confusing. I can't find the export button.,1,1,0.9192947483798065,high_risk
013b83f4-0c40-4a53-85f2-e2c165cac055,Shawn Macdonald,ramosmichael@example.com,559,Rarely,2,The UI is too confusing. I can't find the export button.,0,1,0.916652397461199,high_risk
c67483a9-271a-413d-89e4-db6914dbf596,Kevin Moore,williamswilliam@example.org,680,Rarely,6,Your API documentation is outdated and full of errors.,1,1,0.9143256522125549,high_risk
0b7cede2-b412-4ac7-8f21-01b27ae2cdd9,Courtney Dominguez,gabrielagoodman@example.org,207,Rarely,4,The UI is too confusing. I can't find the export button.,1,1,0.9143021706513866,high_risk
af15cd0d-ea79-4271-9081-036e922ea5f0,Rodney Proctor,wbrown@example.org,470,Rarely,5,Your API documentation is outdated and full of errors.,1,1,0.9142633739197801,high_risk
a8159099-fe07-4b66-a980-db126a5906f3,Willie Rogers,mmarquez@example.org,441,Rarely,6,Your API documentation is outdated and full of errors.,1,1,0.9139801454577032,high_risk
36c5678e-3c45-43f8-972b-722d65afd899,Sheila Vega,shawnmunoz@example.net,210,Rarely,4,Your API documentation is outdated and full of errors.,1,1,0.9136966986380198,high_risk
72c19964-af42-4b50-9861-ee9c6a6a9dd4,James Cole,kevinross@example.com,502,Rarely,6,The app crashes every time I try to upload a CSV.,1,1,0.9135874652122863,high_risk
8cc545e2-26ef-4d69-a652-53397e23189d,Dustin Williams,williamschristina@example.org,134,Rarely,5,The app crashes every time I try to upload a CSV.,0,1,0.9131311580684985,high_risk
2c25ac06-317b-47f3-8149-024857ff9e87,Michael Young,reedbarbara@example.net,618,Rarely,5,Your API documentation is outdated and full of errors.,1,1,0.9122073284524204,high_risk
545a2b58-507b-4895-9058-ab77bbdbe67a,Mark Walker,lphillips@example.com,184,Rarely,5,I'm very frustrated with the downtime. This is unacceptable.,1,1,0.911185289220214,high_risk
42df406b-5018-4643-8da1-96237a0014c0,Kevin Houston,timothygray@example.com,836,Rarely,6,Your API documentation is outdated and full of errors.,1,1,0.9066103785169071,high_risk
7ac6f200-4d29-4af6-ad22-80977e639544,Danielle Heath,hubbardabigail@example.net,389,Rarely,5,I've been waiting for support for 3 days. I'm cancelling.,1,1,0.9063070574653331,high_risk
c9cfed25-fbcd-407c-be1f-e2807b39b8eb,Diane West,qrobertson@example.org,430,Rarely,10,I'm very frustrated with the downtime. This is unacceptable.,1,1,0.9061613187995486,high_risk
d2b63b2e-0bd8-4c56-8f8a-56bc0aa5dff2,Logan Patterson,gomezbill@example.org,78,Rarely,7,Your API documentation is outdated and full of errors.,1,1,0.9052528527603582,high_risk
d0cf61f5-b66a-4dc1-91fe-5659ab632c05,Christy Goodman,louismiller@example.org,984,Rarely,5,Your API documentation is outdated and full of errors.,1,1,0.9048195989649451,high_risk
863a3867-fcd6-446b-9d56-a49f10a29d6f,Chelsea Smith,jeffrey35@example.net,516,Rarely,7,I'm very frustrated with the downtime. This is unacceptable.,1,1,0.9020566285588462,high_risk
